
CodeIgniter v4.7.4 Command Line Tool - Server Time: 2026-08-24 20:29:30 UTC+07:00

+--------+----------------------------------------------------+------+----------------------------------------------------------------+-------------------------------------------------------------------------------------------+--------------------------------------------------------------------------------------+
| Method | Route                                              | Name | Handler                                                        | Before Filters                                                                            | After Filters                                                                        |
| GET    | po/import                                          | »    | \App\Controllers\Po::import                                    | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterKasir filterGudang                            |
| GET    | po/import-preview                                  | »    | \App\Controllers\Po::import                                    | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterKasir filterGudang                            |
| GET    | po/modalCariBarang                                 | »    | \App\Controllers\Po::modalCariBarang                           | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterKasir filterGudang                            |
| GET    | invoiceIn/file/([0-9]+)                            | »    | \App\Controllers\InvoiceIn::file/$1                            | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterKasir filterGudang                            |
| GET    | invoiceIn/uploadFileInvoice/([0-9]+)               | »    | \App\Controllers\InvoiceIn::uploadFileInvoice/$1               | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterKasir filterGudang                            |
| GET    | invoiceIn/uploadBuktiTransfer/([0-9]+)             | »    | \App\Controllers\InvoiceIn::uploadBuktiTransfer/$1             | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterKasir filterGudang                            |
| GET    | invoiceIn/buktiTransfer/([0-9]+)                   | »    | \App\Controllers\InvoiceIn::buktiTransfer/$1                   | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterKasir filterGudang                            |
| GET    | invoiceOut/create                                  | »    | \App\Controllers\InvoiceOut::create                            | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterKasir filterGudang                            |
| GET    | invoiceOut/create/([^/]+)                          | »    | \App\Controllers\InvoiceOut::create/$1                         | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterKasir filterGudang                            |
| GET    | invoiceOut/pembayaran                              | »    | \App\Controllers\InvoiceOut::pembayaran                        | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterKasir filterGudang                            |
